"Município";"Masculino";"Feminino";"Total"
"220410 Francisco Ayres";-;-;-
"220415 Francisco Macedo";-;-;-
"220420 Francisco Santos";-;-;-
"220430 Fronteiras";-;-;-
"220435 Geminiano";-;-;-
"220440 Gilbués";-;-;-
"220450 Guadalupe";-;-;-
"220455 Guaribas";-;-;-
"220460 Hugo Napoleão";-;-;-
"220465 Ilha Grande";-;-;-
"220470 Inhuma";-;-;-
"220480 Ipiranga do Piauí";-;-;-
"220490 Isaías Coelho";-;-;-
"220500 Itainópolis";-;-;-
"220510 Itaueira";-;-;-
"220515 Jacobina do Piauí";-;-;-
"220520 Jaicós";-;-;-
"220525 Jardim do Mulato";-;-;-
"220527 Jatobá do Piauí";-;-;-
"220530 Jerumenha";-;-;-
"220535 João Costa";-;-;-
"220540 Joaquim Pires";-;-;-
"220545 Joca Marques";-;-;-
"220550 José de Freitas";-;-;-
"220551 Juazeiro do Piauí";-;-;-
"220552 Júlio Borges";-;-;-
"220553 Jurema";-;-;-
"220555 Lagoa Alegre";-;-;-
"220557 Lagoa de São Francisco";-;-;-
"220556 Lagoa do Barro do Piauí";-;-;-
"220558 Lagoa do Piauí";-;-;-
"220559 Lagoa do Sítio";-;-;-
"220554 Lagoinha do Piauí";-;-;-
"220560 Landri Sales";-;-;-
"220570 Luís Correia";-;-;-
"220580 Luzilândia";-;-;-
"220585 Madeiro";-;-;-
"220590 Manoel Emídio";-;-;-
"220595 Marcolândia";-;-;-
"220600 Marcos Parente";-;-;-
"220605 Massapê do Piauí";-;-;-
"220610 Matias Olímpio";-;-;-
"220620 Miguel Alves";-;-;-
"220630 Miguel Leão";-;-;-
"220635 Milton Brandão";-;-;-
"220640 Monsenhor Gil";-;-;-
"220650 Monsenhor Hipólito";-;-;-
"220660 Monte Alegre do Piauí";-;-;-
"220665 Morro Cabeça no Tempo";-;-;-
"220667 Morro do Chapéu do Piauí";-;-;-
"220669 Murici dos Portelas";-;-;-
"220670 Nazaré do Piauí";-;-;-
"220672 Nazária";-;-;-
"220675 Nossa Senhora de Nazaré";-;-;-
"220680 Nossa Senhora dos Remédios";-;-;-
"220795 Nova Santa Rita";-;-;-
"220690 Novo Oriente do Piauí";-;-;-
"220695 Novo Santo Antônio";-;-;-
"220700 Oeiras";-;-;-
"220710 Olho D'Água do Piauí";-;-;-
"220720 Padre Marcos";-;-;-
"220730 Paes Landim";-;-;-
"220735 Pajeú do Piauí";-;-;-
"220740 Palmeira do Piauí";-;-;-
"220750 Palmeirais";-;-;-
"220755 Paquetá";-;-;-
"220760 Parnaguá";-;-;-
"220770 Parnaíba";-;-;-
"220775 Passagem Franca do Piauí";-;-;-
"220777 Patos do Piauí";-;-;-
"220779 Pau D'Arco do Piauí";-;-;-
"220780 Paulistana";-;-;-
"220785 Pavussu";-;-;-
"220790 Pedro II";-;-;-
"220793 Pedro Laurentino";-;-;-
"220800 Picos";-;-;-
"220810 Pimenteiras";-;-;-
"220820 Pio IX";-;-;-
"220830 Piracuruca";-;-;-
"220840 Piripiri";-;-;-
"220850 Porto";-;-;-
"220855 Porto Alegre do Piauí";-;-;-
"220860 Prata do Piauí";-;-;-
"220865 Queimada Nova";-;-;-
"220870 Redenção do Gurguéia";-;-;-
"220880 Regeneração";-;-;-
"220885 Riacho Frio";-;-;-
"220887 Ribeira do Piauí";-;-;-
"220890 Ribeiro Gonçalves";-;-;-
"220900 Rio Grande do Piauí";-;-;-
"220910 Santa Cruz do Piauí";-;-;-
"220915 Santa Cruz dos Milagres";-;-;-
"220920 Santa Filomena";-;-;-
"220930 Santa Luz";-;-;-
"220937 Santa Rosa do Piauí";-;-;-
"220935 Santana do Piauí";-;-;-
"220940 Santo Antônio de Lisboa";-;-;-
"220945 Santo Antônio dos Milagres";-;-;-
"220950 Santo Inácio do Piauí";-;-;-
"220955 São Braz do Piauí";-;-;-
"220960 São Félix do Piauí";-;-;-
"220965 São Francisco de Assis do Piauí";-;-;-
"220970 São Francisco do Piauí";-;-;-
"220975 São Gonçalo do Gurguéia";-;-;-
"220980 São Gonçalo do Piauí";-;-;-
"220985 São João da Canabrava";-;-;-
"220987 São João da Fronteira";-;-;-
"220990 São João da Serra";-;-;-
"220995 São João da Varjota";-;-;-
"220997 São João do Arraial";-;-;-
"221000 São João do Piauí";-;-;-
"221005 São José do Divino";-;-;-
"221010 São José do Peixe";-;-;-
"221020 São José do Piauí";-;-;-
"221030 São Julião";-;-;-
"221035 São Lourenço do Piauí";-;-;-
"221037 São Luis do Piauí";-;-;-
"221038 São Miguel da Baixa Grande";-;-;-
"221039 São Miguel do Fidalgo";-;-;-
"221040 São Miguel do Tapuio";-;-;-
"221050 São Pedro do Piauí";-;-;-
"221060 São Raimundo Nonato";-;-;-
"221062 Sebastião Barros";-;-;-
"221063 Sebastião Leal";-;-;-
"221065 Sigefredo Pacheco";-;-;-
"221070 Simões";-;-;-
"221080 Simplício Mendes";-;-;-
"221090 Socorro do Piauí";-;-;-
"221093 Sussuapara";-;-;-
"221095 Tamboril do Piauí";-;-;-
"221097 Tanque do Piauí";-;-;-
"221100 Teresina";-;-;-
"221110 União";-;-;-
"221120 Uruçuí";-;-;-
"221130 Valença do Piauí";-;-;-
"221135 Várzea Branca";-;-;-
"221140 Várzea Grande";-;-;-
"221150 Vera Mendes";-;-;-
"221160 Vila Nova do Piauí";-;-;-
"221170 Wall Ferraz";-;-;-
"220000 Município ignorado - PI";-;-;-
"230010 Abaiara";-;-;-
"230015 Acarape";-;-;-
"230020 Acaraú";-;-;-
"230030 Acopiara";-;-;-
"230040 Aiuaba";-;-;-
"230050 Alcântaras";-;-;-
"230060 Altaneira";-;-;-
"230070 Alto Santo";-;-;-
"230075 Amontada";-;-;-
"230080 Antonina do Norte";-;-;-
"230090 Apuiarés";-;-;-
"230100 Aquiraz";-;-;-
"230110 Aracati";-;-;-
"230120 Aracoiaba";-;-;-
"230125 Ararendá";-;-;-
"230130 Araripe";-;-;-
"230140 Aratuba";-;-;-
"230150 Arneiroz";-;-;-
"230160 Assaré";-;-;-
"230170 Aurora";-;-;-
"230180 Baixio";-;-;-
"230185 Banabuiú";-;-;-
"230190 Barbalha";-;-;-
"230195 Barreira";-;-;-
"230200 Barro";-;-;-
"230205 Barroquinha";-;-;-
"230210 Baturité";-;-;-
"230220 Beberibe";-;-;-
"230230 Bela Cruz";-;-;-
"230240 Boa Viagem";-;-;-
"230250 Brejo Santo";-;-;-
"230260 Camocim";-;-;-
"230270 Campos Sales";-;-;-
"230280 Canindé";-;-;-
"230290 Capistrano";-;-;-
"230300 Caridade";-;-;-
"230310 Cariré";-;-;-
"230320 Caririaçu";-;-;-
"230330 Cariús";-;-;-
"230340 Carnaubal";-;-;-
"230350 Cascavel";-;-;-
"230360 Catarina";-;-;-
"230365 Catunda";-;-;-
"230370 Caucaia";-;-;-
"230380 Cedro";-;-;-
"230390 Chaval";-;-;-
"230393 Choró";-;-;-
"230395 Chorozinho";-;-;-
"230400 Coreaú";-;-;-
"230410 Crateús";-;-;-
"230420 Crato";-;-;-
"230423 Croatá";-;-;-
"230425 Cruz";-;-;-
"230426 Deputado Irapuan Pinheiro";-;-;-
"230427 Ererê";-;-;-
"230428 Eusébio";-;-;-
"230430 Farias Brito";-;-;-
"230435 Forquilha";-;-;-
"230440 Fortaleza";-;-;-
"230445 Fortim";-;-;-
"230450 Frecheirinha";-;-;-
"230460 General Sampaio";-;-;-
"230465 Graça";-;-;-
"230470 Granja";-;-;-
"230480 Granjeiro";-;-;-
"230490 Groaíras";-;-;-
"230495 Guaiúba";-;-;-
"230500 Guaraciaba do Norte";-;-;-
"230510 Guaramiranga";-;-;-
"230520 Hidrolândia";-;-;-
"230523 Horizonte";-;-;-
"230526 Ibaretama";-;-;-
"230530 Ibiapina";-;-;-
"230533 Ibicuitinga";-;-;-
"230535 Icapuí";-;-;-
"230540 Icó";-;-;-
"230550 Iguatu";-;-;-
"230560 Independência";-;-;-
"230565 Ipaporanga";-;-;-
"230570 Ipaumirim";-;-;-
"230580 Ipu";-;-;-
"230590 Ipueiras";-;-;-
"230600 Iracema";-;-;-
"230610 Irauçuba";-;-;-
"230620 Itaiçaba";-;-;-
"230625 Itaitinga";-;-;-
"230630 Itapagé";-;-;-
"230640 Itapipoca";-;-;-
"230650 Itapiúna";-;-;-
"230655 Itarema";-;-;-
"230660 Itatira";-;-;-
"230670 Jaguaretama";-;-;-
"230680 Jaguaribara";-;-;-
"230690 Jaguaribe";-;-;-
"230700 Jaguaruana";-;-;-
"230710 Jardim";-;-;-
"230720 Jati";-;-;-
"230725 Jijoca de Jericoacoara";-;-;-
"230730 Juazeiro do Norte";-;-;-
"230740 Jucás";-;-;-
"230750 Lavras da Mangabeira";-;-;-
"230760 Limoeiro do Norte";-;-;-
"230763 Madalena";-;-;-
"230765 Maracanaú";-;-;-
"230770 Maranguape";-;-;-
"230780 Marco";-;-;-
"230790 Martinópole";-;-;-
"230800 Massapê";-;-;-
"230810 Mauriti";-;-;-
"230820 Meruoca";-;-;-
"230830 Milagres";-;-;-
"230835 Milhã";-;-;-
"230837 Miraíma";-;-;-
"230840 Missão Velha";-;-;-
"230850 Mombaça";-;-;-
"230860 Monsenhor Tabosa";-;-;-
"230870 Morada Nova";-;-;-
"230880 Moraújo";-;-;-
"230890 Morrinhos";-;-;-
"230900 Mucambo";-;-;-
"230910 Mulungu";-;-;-
"230920 Nova Olinda";-;-;-
"230930 Nova Russas";-;-;-
"230940 Novo Oriente";-;-;-
"230945 Ocara";-;-;-
"230950 Orós";-;-;-
"230960 Pacajus";-;-;-
"230970 Pacatuba";-;-;-
"230980 Pacoti";-;-;-
"230990 Pacujá";-;-;-
"231000 Palhano";-;-;-
"231010 Palmácia";-;-;-
"231020 Paracuru";-;-;-
"231025 Paraipaba";-;-;-
"231030 Parambu";-;-;-
"231040 Paramoti";-;-;-
"231050 Pedra Branca";-;-;-
"231060 Penaforte";-;-;-
"231070 Pentecoste";-;-;-
"231080 Pereiro";-;-;-
"231085 Pindoretama";-;-;-
"231090 Piquet Carneiro";-;-;-
"231095 Pires Ferreira";-;-;-
"231100 Poranga";-;-;-
"231110 Porteiras";-;-;-
"231120 Potengi";-;-;-
"231123 Potiretama";-;-;-
"231126 Quiterianópolis";-;-;-
"231130 Quixadá";-;-;-
"231135 Quixelô";-;-;-
"231140 Quixeramobim";-;-;-
"231150 Quixeré";-;-;-
"231160 Redenção";-;-;-
"231170 Reriutaba";-;-;-
"231180 Russas";-;-;-
"231190 Saboeiro";-;-;-
"231195 Salitre";-;-;-
"231220 Santa Quitéria";-;-;-
"231200 Santana do Acaraú";-;-;-
"231210 Santana do Cariri";-;-;-
"231230 São Benedito";-;-;-
"231240 São Gonçalo do Amarante";-;-;-
"231250 São João do Jaguaribe";-;-;-
"231260 São Luís do Curu";-;-;-
"231270 Senador Pompeu";-;-;-
"231280 Senador Sá";-;-;-
"231290 Sobral";-;-;-
"231300 Solonópole";-;-;-
"231310 Tabuleiro do Norte";-;-;-
"231320 Tamboril";-;-;-
"231325 Tarrafas";-;-;-
"231330 Tauá";-;-;-
"231335 Tejuçuoca";-;-;-
"231340 Tianguá";-;-;-
"231350 Trairi";-;-;-
"231355 Tururu";-;-;-
"231360 Ubajara";-;-;-
"231370 Umari";-;-;-
"231375 Umirim";-;-;-
"231380 Uruburetama";-;-;-
"231390 Uruoca";-;-;-
"231395 Varjota";-;-;-
"231400 Várzea Alegre";-;-;-
"231410 Viçosa do Ceará";-;-;-
"230000 Município ignorado - CE";-;-;-
"240010 Acari";-;-;-
"240020 Açu";-;-;-
"240030 Afonso Bezerra";-;-;-
"240040 Água Nova";-;-;-
"240050 Alexandria";-;-;-
"240060 Almino Afonso";-;-;-
"240070 Alto do Rodrigues";-;-;-
"240080 Angicos";-;-;-
"240090 Antônio Martins";-;-;-
"240100 Apodi";-;-;-
"240110 Areia Branca";-;-;-
"240120 Arês";-;-;-
"240130 Augusto Severo";-;-;-
"240140 Baía Formosa";-;-;-
"240145 Baraúna";-;-;-
"240150 Barcelona";-;-;-
"240160 Bento Fernandes";-;-;-
"240165 Bodó";-;-;-
"240170 Bom Jesus";-;-;-
"240180 Brejinho";-;-;-
"240185 Caiçara do Norte";-;-;-
"240190 Caiçara do Rio do Vento";-;-;-
"240200 Caicó";-;-;-
"240210 Campo Redondo";-;-;-
"240220 Canguaretama";-;-;-
"240230 Caraúbas";-;-;-
"240240 Carnaúba dos Dantas";-;-;-
"240250 Carnaubais";-;-;-
"240260 Ceará-Mirim";-;-;-
"240270 Cerro Corá";-;-;-
"240280 Coronel Ezequiel";-;-;-
"240290 Coronel João Pessoa";-;-;-
"240300 Cruzeta";-;-;-
"240310 Currais Novos";-;-;-
"240320 Doutor Severiano";-;-;-
"240330 Encanto";-;-;-
"240340 Equador";-;-;-
"240350 Espírito Santo";-;-;-
"240360 Extremoz";-;-;-
"240370 Felipe Guerra";-;-;-
"240375 Fernando Pedroza";-;-;-
"240380 Florânia";-;-;-
"240390 Francisco Dantas";-;-;-
"240400 Frutuoso Gomes";-;-;-
"240410 Galinhos";-;-;-
"240420 Goianinha";-;-;-
"240430 Governador Dix-Sept Rosado";-;-;-
"240440 Grossos";-;-;-
"240450 Guamaré";-;-;-
"240460 Ielmo Marinho";-;-;-
"240470 Ipanguaçu";-;-;-
"240480 Ipueira";-;-;-
"240485 Itajá";-;-;-
"240490 Itaú";-;-;-
"240500 Jaçanã";-;-;-
"240510 Jandaíra";-;-;-
"240520 Janduís";-;-;-
"240530 Januário Cicco";-;-;-
"240540 Japi";-;-;-
"240550 Jardim de Angicos";-;-;-
"240560 Jardim de Piranhas";-;-;-
"240570 Jardim do Seridó";-;-;-
"240580 João Câmara";-;-;-
"240590 João Dias";-;-;-
"240600 José da Penha";-;-;-
"240610 Jucurutu";-;-;-
"240615 Jundiá";-;-;-
"240620 Lagoa d'Anta";-;-;-
"240630 Lagoa de Pedras";-;-;-
"240640 Lagoa de Velhos";-;-;-
"240650 Lagoa Nova";-;-;-
"240660 Lagoa Salgada";-;-;-
"240670 Lajes";-;-;-
"240680 Lajes Pintadas";-;-;-
"240690 Lucrécia";-;-;-
"240700 Luís Gomes";-;-;-
"240710 Macaíba";-;-;-
"240720 Macau";-;-;-
"240725 Major Sales";-;-;-
"240730 Marcelino Vieira";-;-;-
"240740 Martins";-;-;-
"240750 Maxaranguape";-;-;-
"240760 Messias Targino";-;-;-
"240770 Montanhas";-;-;-
"240780 Monte Alegre";-;-;-
"240790 Monte das Gameleiras";-;-;-
"240800 Mossoró";-;-;-
"240810 Natal";-;-;-
"240820 Nísia Floresta";-;-;-
"240830 Nova Cruz";-;-;-
"240840 Olho-d'Água do Borges";-;-;-
"240850 Ouro Branco";-;-;-
"240860 Paraná";-;-;-
"240870 Paraú";-;-;-
"240880 Parazinho";-;-;-
"240890 Parelhas";-;-;-
"240325 Parnamirim";-;-;-
"240910 Passa e Fica";-;-;-
"240920 Passagem";-;-;-
"240930 Patu";-;-;-
"240940 Pau dos Ferros";-;-;-
"240950 Pedra Grande";-;-;-
"240960 Pedra Preta";-;-;-
"240970 Pedro Avelino";-;-;-
"240980 Pedro Velho";-;-;-
"240990 Pendências";-;-;-
"241000 Pilões";-;-;-
"241010 Poço Branco";-;-;-
"241020 Portalegre";-;-;-
"241025 Porto do Mangue";-;-;-
"241040 Pureza";-;-;-
"241050 Rafael Fernandes";-;-;-
"241060 Rafael Godeiro";-;-;-
"241070 Riacho da Cruz";-;-;-
"241080 Riacho de Santana";-;-;-
"241090 Riachuelo";-;-;-
"240895 Rio do Fogo";-;-;-
"241100 Rodolfo Fernandes";-;-;-
"241110 Ruy Barbosa";-;-;-
"241120 Santa Cruz";-;-;-
"240933 Santa Maria";-;-;-
"241140 Santana do Matos";-;-;-
"241142 Santana do Seridó";-;-;-
"241150 Santo Antônio";-;-;-
"241160 São Bento do Norte";-;-;-
"241170 São Bento do Trairí";-;-;-
"241180 São Fernando";-;-;-
"241190 São Francisco do Oeste";-;-;-
"241200 São Gonçalo do Amarante";-;-;-
"241210 São João do Sabugi";-;-;-
"241220 São José de Mipibu";-;-;-
"241230 São José do Campestre";-;-;-
"241240 São José do Seridó";-;-;-
"241250 São Miguel";-;-;-
"241255 São Miguel do Gostoso";-;-;-
"241260 São Paulo do Potengi";-;-;-
"241270 São Pedro";-;-;-
"241280 São Rafael";-;-;-
"241290 São Tomé";-;-;-
"241300 São Vicente";-;-;-
"241310 Senador Elói de Souza";-;-;-
"241320 Senador Georgino Avelino";-;-;-
"241030 Serra Caiada";-;-;-
"241330 Serra de São Bento";-;-;-
"241335 Serra do Mel";-;-;-
"241340 Serra Negra do Norte";-;-;-
"241350 Serrinha";-;-;-
"241355 Serrinha dos Pintos";-;-;-
"241360 Severiano Melo";-;-;-
"241370 Sítio Novo";-;-;-
"241380 Taboleiro Grande";-;-;-
"241390 Taipu";-;-;-
"241400 Tangará";-;-;-
"241410 Tenente Ananias";-;-;-
"241415 Tenente Laurentino Cruz";-;-;-
"241105 Tibau";-;-;-
"241420 Tibau do Sul";-;-;-
"241430 Timbaúba dos Batistas";-;-;-
"241440 Touros";-;-;-
"241445 Triunfo Potiguar";-;-;-
"241450 Umarizal";-;-;-
"241460 Upanema";-;-;-
"241470 Várzea";-;-;-
"241475 Venha-Ver";-;-;-
"241480 Vera Cruz";-;-;-
"241490 Viçosa";-;-;-
"241500 Vila Flor";-;-;-
"240000 Município ignorado - RN";-;-;-
"250010 Água Branca";-;-;-
"250020 Aguiar";-;-;-
"250030 Alagoa Grande";-;-;-
"250040 Alagoa Nova";-;-;-
"250050 Alagoinha";-;-;-
"250053 Alcantil";-;-;-
"250057 Algodão de Jandaíra";-;-;-
"250060 Alhandra";-;-;-
"250073 Amparo";-;-;-
"250077 Aparecida";-;-;-
"250080 Araçagi";-;-;-
"250090 Arara";-;-;-
"250100 Araruna";-;-;-
"250110 Areia";-;-;-
"250115 Areia de Baraúnas";-;-;-
"250120 Areial";-;-;-
"250130 Aroeiras";-;-;-
"250135 Assunção";-;-;-
"250140 Baía da Traição";-;-;-
"250150 Bananeiras";-;-;-
"250153 Baraúna";-;-;-
"250160 Barra de Santa Rosa";-;-;-
"250157 Barra de Santana";-;-;-
"250170 Barra de São Miguel";-;-;-
"250180 Bayeux";-;-;-
"250190 Belém";-;-;-
"250200 Belém do Brejo do Cruz";-;-;-
"250205 Bernardino Batista";-;-;-
"250210 Boa Ventura";-;-;-
"250215 Boa Vista";-;-;-
"250220 Bom Jesus";-;-;-
"250230 Bom Sucesso";-;-;-
"250240 Bonito de Santa Fé";-;-;-
"250250 Boqueirão";-;-;-
"250270 Borborema";-;-;-
"250280 Brejo do Cruz";-;-;-
"250290 Brejo dos Santos";-;-;-
"250300 Caaporã";-;-;-
"250310 Cabaceiras";-;-;-
"250320 Cabedelo";-;-;-
"250330 Cachoeira dos Índios";-;-;-
"250340 Cacimba de Areia";-;-;-
"250350 Cacimba de Dentro";-;-;-
"250355 Cacimbas";-;-;-
"250360 Caiçara";-;-;-
"250370 Cajazeiras";-;-;-
"250375 Cajazeirinhas";-;-;-
"250380 Caldas Brandão";-;-;-
"250390 Camalaú";-;-;-
"250400 Campina Grande";-;-;-
"250403 Capim";-;-;-
"250407 Caraúbas";-;-;-
"250410 Carrapateira";-;-;-
"250415 Casserengue";-;-;-
"250420 Catingueira";-;-;-
"250430 Catolé do Rocha";-;-;-
"250435 Caturité";-;-;-
"250440 Conceição";-;-;-
"250450 Condado";-;-;-
"250460 Conde";-;-;-
"250470 Congo";-;-;-
"250480 Coremas";-;-;-
"250485 Coxixola";-;-;-
"250490 Cruz do Espírito Santo";-;-;-
"250500 Cubati";-;-;-
"250510 Cuité";-;-;-
"250523 Cuité de Mamanguape";-;-;-
"250520 Cuitegi";-;-;-
"250527 Curral de Cima";-;-;-
"250530 Curral Velho";-;-;-
"250535 Damião";-;-;-
"250540 Desterro";-;-;-
"250560 Diamante";-;-;-
"250570 Dona Inês";-;-;-
"250580 Duas Estradas";-;-;-
"250590 Emas";-;-;-
"250600 Esperança";-;-;-
"250610 Fagundes";-;-;-
"250620 Frei Martinho";-;-;-
"250625 Gado Bravo";-;-;-
"250630 Guarabira";-;-;-
"250640 Gurinhém";-;-;-
"250650 Gurjão";-;-;-
"250660 Ibiara";-;-;-
"250260 Igaracy";-;-;-
"250670 Imaculada";-;-;-
"250680 Ingá";-;-;-
"250690 Itabaiana";-;-;-
"250700 Itaporanga";-;-;-
"250710 Itapororoca";-;-;-
"250720 Itatuba";-;-;-
"250730 Jacaraú";-;-;-
"250740 Jericó";-;-;-
"250750 João Pessoa";-;-;-
"251365 Joca Claudino";-;-;-
"250760 Juarez Távora";-;-;-
"250770 Juazeirinho";-;-;-
"250780 Junco do Seridó";-;-;-
"250790 Juripiranga";-;-;-
"250800 Juru";-;-;-
"250810 Lagoa";-;-;-
"250820 Lagoa de Dentro";-;-;-
"250830 Lagoa Seca";-;-;-
"250840 Lastro";-;-;-
"250850 Livramento";-;-;-
"250855 Logradouro";-;-;-
"250860 Lucena";-;-;-
"250870 Mãe d'Água";-;-;-
"250880 Malta";-;-;-
"250890 Mamanguape";-;-;-
"250900 Manaíra";-;-;-
"250905 Marcação";-;-;-
"250910 Mari";-;-;-
"250915 Marizópolis";-;-;-
"250920 Massaranduba";-;-;-
"250930 Mataraca";-;-;-
"250933 Matinhas";-;-;-
"250937 Mato Grosso";-;-;-
"250939 Maturéia";-;-;-
"250940 Mogeiro";-;-;-
"250950 Montadas";-;-;-
"250960 Monte Horebe";-;-;-
"250970 Monteiro";-;-;-
"250980 Mulungu";-;-;-
"250990 Natuba";-;-;-
"251000 Nazarezinho";-;-;-
"251010 Nova Floresta";-;-;-
"251020 Nova Olinda";-;-;-
"251030 Nova Palmeira";-;-;-
"251040 Olho d'Água";-;-;-
"251050 Olivedos";-;-;-
"251060 Ouro Velho";-;-;-
"251065 Parari";-;-;-
"251070 Passagem";-;-;-
"251080 Patos";-;-;-
"251090 Paulista";-;-;-
"251100 Pedra Branca";-;-;-
"251110 Pedra Lavrada";-;-;-
"251120 Pedras de Fogo";-;-;-
"251272 Pedro Régis";-;-;-
"251130 Piancó";-;-;-
"251140 Picuí";-;-;-
"251150 Pilar";-;-;-
"251160 Pilões";-;-;-
"251170 Pilõezinhos";-;-;-
"251180 Pirpirituba";-;-;-
"251190 Pitimbu";-;-;-
"251200 Pocinhos";-;-;-
"251203 Poço Dantas";-;-;-
"251207 Poço de José de Moura";-;-;-
"251210 Pombal";-;-;-
"251220 Prata";-;-;-
"251230 Princesa Isabel";-;-;-
"251240 Puxinanã";-;-;-
"251250 Queimadas";-;-;-
"251260 Quixabá";-;-;-
"251270 Remígio";-;-;-
"251274 Riachão";-;-;-
"251275 Riachão do Bacamarte";-;-;-
"251276 Riachão do Poço";-;-;-
"251278 Riacho de Santo Antônio";-;-;-
"251280 Riacho dos Cavalos";-;-;-
"251290 Rio Tinto";-;-;-
"251300 Salgadinho";-;-;-
"251310 Salgado de São Félix";-;-;-
"251315 Santa Cecília";-;-;-
"251320 Santa Cruz";-;-;-
"251330 Santa Helena";-;-;-
"251335 Santa Inês";-;-;-
"251340 Santa Luzia";-;-;-
"251370 Santa Rita";-;-;-
"251380 Santa Teresinha";-;-;-
"251350 Santana de Mangueira";-;-;-
"251360 Santana dos Garrotes";-;-;-
"251385 Santo André";-;-;-
"251392 São Bentinho";-;-;-
"251390 São Bento";-;-;-
"251396 São Domingos";-;-;-
"251394 São Domingos do Cariri";-;-;-
"251398 São Francisco";-;-;-
"251400 São João do Cariri";-;-;-
"250070 São João do Rio do Peixe";-;-;-
"251410 São João do Tigre";-;-;-
"251420 São José da Lagoa Tapada";-;-;-
"251430 São José de Caiana";-;-;-
"251440 São José de Espinharas";-;-;-
"251450 São José de Piranhas";-;-;-
"251455 São José de Princesa";-;-;-
"251460 São José do Bonfim";-;-;-
"251465 São José do Brejo do Cruz";-;-;-
"251470 São José do Sabugi";-;-;-
"251480 São José dos Cordeiros";-;-;-
"251445 São José dos Ramos";-;-;-
"251490 São Mamede";-;-;-
"251500 São Miguel de Taipu";-;-;-
"251510 São Sebastião de Lagoa de Roça";-;-;-
"251520 São Sebastião do Umbuzeiro";-;-;-
"251540 São Vicente do Seridó";-;-;-
"251530 Sapé";-;-;-
"251550 Serra Branca";-;-;-
"251560 Serra da Raiz";-;-;-
"251570 Serra Grande";-;-;-
"251580 Serra Redonda";-;-;-
"251590 Serraria";-;-;-
"251593 Sertãozinho";-;-;-
"251597 Sobrado";-;-;-
"251600 Solânea";-;-;-
"251610 Soledade";-;-;-
"251615 Sossêgo";-;-;-
"251620 Sousa";-;-;-
"251630 Sumé";-;-;-
"251640 Tacima";-;-;-
"251650 Taperoá";-;-;-
"251660 Tavares";-;-;-
"251670 Teixeira";-;-;-
"251675 Tenório";-;-;-
"251680 Triunfo";-;-;-
"251690 Uiraúna";-;-;-
"251700 Umbuzeiro";-;-;-
"251710 Várzea";-;-;-
"251720 Vieirópolis";-;-;-
"250550 Vista Serrana";-;-;-
"251740 Zabelê";-;-;-
"250000 Município ignorado - PB";-;-;-
"260005 Abreu e Lima";-;-;-
"260010 Afogados da Ingazeira";-;-;-
"260020 Afrânio";-;-;-
"260030 Agrestina";-;-;-
"260040 Água Preta";-;-;-
"260050 Águas Belas";-;-;-
"260060 Alagoinha";-;-;-
"260070 Aliança";-;-;-
"260080 Altinho";-;-;-
"260090 Amaraji";-;-;-
"260100 Angelim";-;-;-
"260105 Araçoiaba";-;-;-
"260110 Araripina";-;-;-
"260120 Arcoverde";-;-;-
"260130 Barra de Guabiraba";-;-;-
"260140 Barreiros";-;-;-
"260150 Belém de Maria";-;-;-
"260160 Belém do São Francisco";-;-;-
"260170 Belo Jardim";-;-;-
"260180 Betânia";-;-;-
"260190 Bezerros";-;-;-
"260200 Bodocó";-;-;-
"260210 Bom Conselho";-;-;-
"260220 Bom Jardim";-;-;-
"260230 Bonito";-;-;-
"260240 Brejão";-;-;-
"260250 Brejinho";-;-;-
"260260 Brejo da Madre de Deus";-;-;-
"260270 Buenos Aires";-;-;-
"260280 Buíque";-;-;-
"260290 Cabo de Santo Agostinho";-;-;-
"260300 Cabrobó";-;-;-
"260310 Cachoeirinha";-;-;-
"260320 Caetés";-;-;-
